project	file	line	pattern	type	member	chars_saved	before	after
scala3-compiler	dotty/tools/dotc/sbt/ShowAPI.scala	116	P5	ParameterModifier	Repeated	18	case ParameterModifier.Repeated => base + "*"	case .Repeated => base + "*"
scala3-compiler	dotty/tools/dotc/sbt/ShowAPI.scala	117	P5	ParameterModifier	ByName	18	case ParameterModifier.ByName   => "=> " + base	case .ByName   => "=> " + base
scala3-compiler	dotty/tools/dotc/sbt/ShowAPI.scala	149	P5	Variance	Invariant	9	case Variance.Invariant     => ""	case .Invariant     => ""
scala3-compiler	dotty/tools/dotc/sbt/ShowAPI.scala	150	P5	Variance	Covariant	9	case Variance.Covariant     => "+"	case .Covariant     => "+"
scala3-compiler	dotty/tools/dotc/sbt/ShowAPI.scala	151	P5	Variance	Contravariant	9	case Variance.Contravariant => "-"	case .Contravariant => "-"
scala3-compiler	dotty/tools/dotc/sbt/ExtractAPI.scala	235	P1	api.ThisQualifier	create	18	val local: api.ThisQualifier = api.ThisQualifier.create()	val local: api.ThisQualifier = .create()
scala3-compiler	dotty/tools/dotc/sbt/ExtractAPI.scala	236	P1	api.Public	create	11	val public: api.Public = api.Public.create()	val public: api.Public = .create()
scala3-compiler	dotty/tools/dotc/sbt/ExtractAPI.scala	237	P1	api.Private	create	12	val privateLocal: api.Private = api.Private.create(local)	val privateLocal: api.Private = .create(local)
scala3-compiler	dotty/tools/dotc/sbt/ExtractAPI.scala	238	P1	api.Protected	create	14	val protectedLocal: api.Protected = api.Protected.create(local)	val protectedLocal: api.Protected = .create(local)
scala3-compiler	dotty/tools/dotc/sbt/ExtractAPI.scala	239	P1	api.Unqualified	create	16	val unqualified: api.Unqualified = api.Unqualified.create()	val unqualified: api.Unqualified = .create()
scala3-compiler	dotty/tools/dotc/sbt/ExtractAPI.scala	240	P1	api.This	create	9	val thisPath: api.This = api.This.create()	val thisPath: api.This = .create()
scala3-compiler	dotty/tools/dotc/sbt/ExtractAPI.scala	241	P1	api.EmptyType	create	14	val emptyType: api.EmptyType = api.EmptyType.create()	val emptyType: api.EmptyType = .create()
scala3-compiler	dotty/tools/dotc/sbt/ExtractAPI.scala	681	P1	api.TypeParameter	of	18	def apiTypeParameter(name: String, variance: Int, lo: Type, hi: Type): api.TypeParameter =	def apiTypeParameter(name: String, variance: Int, lo: Type, hi: Type): api.TypeParameter =
scala3-compiler	dotty/tools/dotc/ast/Desugar.scala	626	P5	KeepAnnotations	None	16	case KeepAnnotations.None => mods.withAnnotations(Nil)	case .None => mods.withAnnotations(Nil)
scala3-compiler	dotty/tools/dotc/ast/Desugar.scala	627	P5	KeepAnnotations	All	16	case KeepAnnotations.All => mods	case .All => mods
scala3-compiler	dotty/tools/dotc/ast/Desugar.scala	628	P5	KeepAnnotations	WitnessOnly	16	case KeepAnnotations.WitnessOnly =>	case .WitnessOnly =>
scala3-compiler	dotty/tools/dotc/inlines/Inliner.scala	1106	P4	SimpleIdentitySet	empty	18	val typeBindingsSet = typeBindings.foldLeft[SimpleIdentitySet[Symbol]](SimpleIdentitySet.empty)(_ + _.symbol)	val typeBindingsSet = typeBindings.foldLeft[SimpleIdentitySet[Symbol]](.empty)(_ + _.symbol)
scala3-compiler	dotty/tools/dotc/printing/Texts.scala	116	P2	Int	MaxValue	4	def mkString(width: Int = Int.MaxValue): String =	def mkString(width: Int = .MaxValue): String =
scala3-compiler	dotty/tools/dotc/core/GadtConstraint.scala	264	P2	Int	MaxValue	4	def approximation(sym: Symbol, fromBelow: Boolean, maxLevel: Int = Int.MaxValue)(using Context): Type = {	def approximation(sym: Symbol, fromBelow: Boolean, maxLevel: Int = .MaxValue)(using Context): Type = {
scala3-compiler	dotty/tools/dotc/core/Symbols.scala	42	P1	CanEqual	derived	9	implicit def eqSymbol: CanEqual[Symbol, Symbol] = CanEqual.derived	implicit def eqSymbol: CanEqual[Symbol, Symbol] = .derived
scala3-compiler	dotty/tools/dotc/core/ConstraintHandling.scala	59	P1	Set	empty	4	protected var comparedTypeLambdas: Set[TypeLambda] = Set.empty	protected var comparedTypeLambdas: Set[TypeLambda] = .empty
scala3-compiler	dotty/tools/dotc/core/ConstraintHandling.scala	73	P1	Set	empty	4	protected var poisoned: Set[TypeParamRef] = Set.empty	protected var poisoned: Set[TypeParamRef] = .empty
scala3-compiler	dotty/tools/dotc/core/SymUtils.scala	332	P2	Set	empty	4	def withAnnotationsCarrying(from: Symbol, meta: Symbol, orNoneOf: Set[Symbol] = Set.empty)(using Context): self.type = {	def withAnnotationsCarrying(from: Symbol, meta: Symbol, orNoneOf: Set[Symbol] = .empty)(using Context): self.type = {
scala3-compiler	dotty/tools/dotc/core/Phases.scala	80	P1	Set	empty	4	var prevPhases: Set[String] = Set.empty	var prevPhases: Set[String] = .empty
scala3-compiler	dotty/tools/dotc/core/Phases.scala	149	P1	Set	empty	4	var phasesAfter: Set[String] = Set.empty	var phasesAfter: Set[String] = .empty
scala3-compiler	dotty/tools/dotc/core/Phases.scala	371	P1	Set	empty	4	def runsAfter: Set[String] = Set.empty	def runsAfter: Set[String] = .empty
scala3-compiler	dotty/tools/dotc/core/Phases.scala	528	P1	Iterator	iterate	9	final def iterator: Iterator[Phase] =	final def iterator: Iterator[Phase] =
scala3-compiler	dotty/tools/dotc/core/Definitions.scala	172	P2	TypeBounds	empty	11	flags: FlagSet = EmptyFlags,	flags: FlagSet = EmptyFlags,
scala3-compiler	dotty/tools/dotc/core/SymDenotations.scala	1868	P1	SimpleIdentityMap	empty	18	private var fullNameCache: SimpleIdentityMap[QualifiedNameKind, Name] = SimpleIdentityMap.empty	private var fullNameCache: SimpleIdentityMap[QualifiedNameKind, Name] = .empty
scala3-compiler	dotty/tools/dotc/core/SymDenotations.scala	1878	P1	BaseData	None	9	private var baseDataCache: BaseData = BaseData.None	private var baseDataCache: BaseData = .None
scala3-compiler	dotty/tools/dotc/core/SymDenotations.scala	1879	P1	MemberNames	None	12	private var memberNamesCache: MemberNames = MemberNames.None	private var memberNamesCache: MemberNames = .None
scala3-compiler	dotty/tools/dotc/core/SymDenotations.scala	255	P2	Set	empty	4	def annotationsCarrying(meta: Set[Symbol],	def annotationsCarrying(meta: Set[Symbol],
scala3-compiler	dotty/tools/dotc/core/SymDenotations.scala	256	P2	Set	empty	4	orNoneOf: Set[Symbol] = Set.empty,	orNoneOf: Set[Symbol] = .empty,
scala3-compiler	dotty/tools/dotc/core/SymDenotations.scala	262	P2	Set	empty	4	def keepAnnotationsCarrying(phase: DenotTransformer, meta: Set[Symbol],	def keepAnnotationsCarrying(phase: DenotTransformer, meta: Set[Symbol],
scala3-compiler	dotty/tools/dotc/core/SymDenotations.scala	263	P2	Set	empty	4	orNoneOf: Set[Symbol] = Set.empty, andAlso: Set[Symbol] = Set.empty)(using Context): Unit =	orNoneOf: Set[Symbol] = .empty, andAlso: Set[Symbol] = Set.empty)(using Context): Unit =
scala3-compiler	dotty/tools/dotc/core/Contexts.scala	1068	P1	Array	empty	6	private[core] var fusedPhases: Array[Phase] = Array.empty[Phase]	private[core] var fusedPhases: Array[Phase] = .empty[Phase]
scala3-compiler	dotty/tools/dotc/core/Denotations.scala	76	P1	CanEqual	derived	9	implicit def eqDenotation: CanEqual[Denotation, Denotation] = CanEqual.derived	implicit def eqDenotation: CanEqual[Denotation, Denotation] = .derived
scala3-compiler	dotty/tools/dotc/core/Denotations.scala	1267	P1	Signature	OverloadedSignature	10	final def signature(using Context): Signature = Signature.OverloadedSignature	final def signature(using Context): Signature = .OverloadedSignature
scala3-compiler	dotty/tools/dotc/core/Names.scala	187	P1	LinearMap	empty	10	private var derivedNames: LinearMap[NameInfo, DerivedName] = LinearMap.empty	private var derivedNames: LinearMap[NameInfo, DerivedName] = .empty
scala3-compiler	dotty/tools/dotc/core/TypeComparer.scala	167	P1	ApproxState	Fresh	12	private var approx: ApproxState = ApproxState.Fresh	private var approx: ApproxState = .Fresh
scala3-compiler	dotty/tools/dotc/core/TypeComparer.scala	3646	P1	Set	empty	4	var poisoned: Set[TypeParamRef] = Set.empty	var poisoned: Set[TypeParamRef] = .empty
scala3-compiler	dotty/tools/dotc/core/TypeComparer.scala	3960	P1	MatchResult	Stuck	12	def matchMissingCaptures(spec: MatchTypeCaseSpec.MissingCaptures): MatchResult =	def matchMissingCaptures(spec: MatchTypeCaseSpec.MissingCaptures): MatchResult =
scala3-compiler	dotty/tools/dotc/core/TypeComparer.scala	3546	P2	Int	MaxValue	4	def instanceType(param: TypeParamRef, fromBelow: Boolean, widen: Widen, maxLevel: Int = Int.MaxValue)(using Context): Type =	def instanceType(param: TypeParamRef, fromBelow: Boolean, widen: Widen, maxLevel: Int = .MaxValue)(using Context): Type =
scala3-compiler	dotty/tools/dotc/core/TypeComparer.scala	3549	P2	Int	MaxValue	4	def approximation(param: TypeParamRef, fromBelow: Boolean, maxLevel: Int = Int.MaxValue)(using Context): Type =	def approximation(param: TypeParamRef, fromBelow: Boolean, maxLevel: Int = .MaxValue)(using Context): Type =
